2026-06-10 23:38:19,493 - INFO - Epoch 3 | Step 100 | Loss: 5.1273
2026-06-10 23:38:29,358 - INFO - Epoch 3 | Step 200 | Loss: 5.1039
2026-06-10 23:38:41,983 - INFO - Epoch 3 | Step 300 | Loss: 5.0823
2026-06-10 23:38:51,846 - INFO - Epoch 3 | Step 400 | Loss: 5.0566
2026-06-10 23:39:01,596 - INFO - Epoch 3 | Step 500 | Loss: 5.0327
2026-06-10 23:39:14,257 - INFO - Epoch 3 | Step 600 | Loss: 5.0089
2026-06-10 23:39:29,435 - INFO - Epoch 4 | Step 100 | Loss: 4.7832
2026-06-10 23:39:39,317 - INFO - Epoch 4 | Step 200 | Loss: 4.7733
2026-06-10 23:39:51,955 - INFO - Epoch 4 | Step 300 | Loss: 4.7565
2026-06-10 23:40:01,886 - INFO - Epoch 4 | Step 400 | Loss: 4.7404
2026-06-10 23:40:11,729 - INFO - Epoch 4 | Step 500 | Loss: 4.7254
2026-06-10 23:40:24,321 - INFO - Epoch 4 | Step 600 | Loss: 4.7116
2026-06-10 23:40:39,130 - INFO - Epoch 5 | Step 100 | Loss: 4.5400
2026-06-10 23:40:49,254 - INFO - Epoch 5 | Step 200 | Loss: 4.5327
2026-06-10 23:41:02,155 - INFO - Epoch 5 | Step 300 | Loss: 4.5260
2026-06-10 23:41:12,354 - INFO - Epoch 5 | Step 400 | Loss: 4.5182
2026-06-10 23:41:22,631 - INFO - Epoch 5 | Step 500 | Loss: 4.5073
2026-06-10 23:41:34,116 - INFO - Epoch 5 | Step 600 | Loss: 4.4998
2026-06-10 23:41:48,881 - INFO - Epoch 6 | Step 100 | Loss: 4.3595
2026-06-10 23:41:58,813 - INFO - Epoch 6 | Step 200 | Loss: 4.3594
2026-06-10 23:42:11,651 - INFO - Epoch 6 | Step 300 | Loss: 4.3561
2026-06-10 23:42:21,807 - INFO - Epoch 6 | Step 400 | Loss: 4.3473
2026-06-10 23:42:31,937 - INFO - Epoch 6 | Step 500 | Loss: 4.3426
2026-06-10 23:42:43,914 - INFO - Epoch 6 | Step 600 | Loss: 4.3400
2026-06-10 23:42:59,260 - INFO - Epoch 7 | Step 100 | Loss: 4.2048
2026-06-10 23:43:09,314 - INFO - Epoch 7 | Step 200 | Loss: 4.2122
2026-06-10 23:43:21,492 - INFO - Epoch 7 | Step 300 | Loss: 4.2147
2026-06-10 23:43:31,548 - INFO - Epoch 7 | Step 400 | Loss: 4.2154
2026-06-10 23:43:41,627 - INFO - Epoch 7 | Step 500 | Loss: 4.2140
2026-06-10 23:43:53,766 - INFO - Epoch 7 | Step 600 | Loss: 4.2118
2026-06-10 23:44:09,941 - INFO - Epoch 8 | Step 100 | Loss: 4.1113
2026-06-10 23:44:22,117 - INFO - Epoch 8 | Step 200 | Loss: 4.1055
2026-06-10 23:44:32,287 - INFO - Epoch 8 | Step 300 | Loss: 4.1068
2026-06-10 23:44:42,396 - INFO - Epoch 8 | Step 400 | Loss: 4.1076
2026-06-10 23:44:52,537 - INFO - Epoch 8 | Step 500 | Loss: 4.1033
2026-06-10 23:45:04,711 - INFO - Epoch 8 | Step 600 | Loss: 4.1053
2026-06-10 23:45:20,152 - INFO - Epoch 9 | Step 100 | Loss: 4.0022
2026-06-10 23:45:32,259 - INFO - Epoch 9 | Step 200 | Loss: 4.0096
2026-06-10 23:45:42,395 - INFO - Epoch 9 | Step 300 | Loss: 4.0131
2026-06-10 23:45:52,503 - INFO - Epoch 9 | Step 400 | Loss: 4.0162
2026-06-10 23:46:02,616 - INFO - Epoch 9 | Step 500 | Loss: 4.0170
2026-06-10 23:46:14,792 - INFO - Epoch 9 | Step 600 | Loss: 4.0166
2026-06-10 23:46:30,172 - INFO - Epoch 10 | Step 100 | Loss: 3.9289
2026-06-10 23:46:42,312 - INFO - Epoch 10 | Step 200 | Loss: 3.9321
2026-06-10 23:46:52,456 - INFO - Epoch 10 | Step 300 | Loss: 3.9373
